Timestamp,Age,Stars,Height,Superpower,Random,BirthMonth,Drawing,Guitar,Math,Debug,BagColor,Commute,Soda,Dinosaurs,Sports,Lat,Long,Education,Supermarket
9/2/2025 9:03:23,23,Star Wars,160,Telekinesis,8,7,4,1,4,3,beige,5,No,Yes,Yes,19.851833,-155.927422,Bachelor's Degree,Times
9/2/2025 9:03:35,21,Star Wars,64,Telekinesis,7,2,1,1,3,3,Black,20,No,Yes,No,35.011635,135.768036,High School Diploma,Foodland
9/2/2025 9:03:54,22,Star Wars,183,Flying,8,2,4,1,4,3,Blue,45,No,Yes,No,47.751882,-122.147823,High School Diploma,Safeway
9/2/2025 9:04:43,20,Star Wars,176,Telekinesis,2,10,1,1,3,3,Black,20,Yes,Yes,No,36.169941,-115.139832,High School Diploma,Safeway
9/2/2025 9:04:44,21,Star Wars,167,Telekinesis,6,8,1,1,4,3,Black,45,No,Yes,Yes,21.556953,-157.876821,High School Diploma,Foodland
9/2/2025 9:04:29,22,Star Wars,160,Telekinesis,9,7,4,3,3,3,black,45,No,Yes,Yes,21.266818,-157.779049,High School Diploma,Costco
9/2/2025 9:04:58,28,Star Wars,180,Flying,6.542,6,1,1,3,4,Black,15,No,Yes,Yes,30.393534,86.495781,Bachelor's Degree,Safeway
9/2/2025 9:05:07,23,Star Wars,152,Telekinesis,3,6,3,3,4,3,black,5,Yes,Yes,No,21.592991,-158.103424,Bachelor's Degree,Foodland
9/2/2025 9:05:17,20,Star Wars,152.4,Flying,8,11,2,1,3,3,Black,50,Yes,No,No,34.037231,-118.400909,High School Diploma,Safeway
9/2/2025 9:05:19,21,Star Wars,172,Invisibility,4,11,4,1,3,2,Black,50,Yes,Yes,No,21.414619,-158.008345,High School Diploma,Times
9/2/2025 9:05:23,20,Star Wars,156.21,Telekinesis,8,6,2,1,5,4,pink,75,Yes,Yes,No,33.66386,-117.90477,High School Diploma,Times
9/2/2025 9:05:42,24,Star Wars,166,,2,10,4,1,3,2,Red,95,No,No,Yes,37,237,High School Diploma,Safeway
9/2/2025 9:05:50,24,Star Wars,162.56,Telekinesis,4,11,4,1,3,2,Purple,20,Yes,No,Yes,,-158.0715983,Bachelor's Degree,Safeway
9/2/2025 9:05:53,22,Star Wars,182,Flying,8,2,2,2,3,3,Camo,30,No,Yes,Yes,21.438911,-158.000061,High School Diploma,Foodland
9/2/2025 9:06:15,23,Star Wars,169,Flying,2,12,2,3,4,4,Black,30,No,No,No,35.69,139.69,Bachelor's Degree,Foodland
9/2/2025 9:06:16,21,Star Wars,183,Flying,4,5,1,1,4,3,blue,10,No,Yes,Yes,25.582085,100.039093,High School Diploma,Times
9/2/2025 9:06:19,21,Star Wars,157,Invisibility,9,7,2,3,4,2,Brown,20,No,Yes,,35.50396,33.888069,High School Diploma,Times
9/2/2025 9:06:21,21,Star Wars,162,Telekinesis,8,4,3,3,3,3,Gray,30,Yes,Yes,Yes,21.306944,-157.858337,High School Diploma,Foodland
9/2/2025 9:06:26,21,Star Wars,175.26,Telekinesis,9,7,4,1,3,2,black,15,Yes,No,Yes,3.139003,101.686852,High School Diploma,Times
9/2/2025 9:06:30,20,Star Wars,169,Flying,7,9,1,1,5,5,Grey,25,No,Yes,Yes,39.485279,-77.035278,Bachelor's Degree,Whole-foods
9/2/2025 9:06:31,23,Star Wars,165.1,Talk to animals,9,8,5,2,5,5,Black,30,Yes,Yes,No,19.655381,-155.074974,Bachelor's Degree,Foodland
9/2/2025 9:06:35,21,Star Wars,168,Flying,7,6,1,3,2,3,Black,20,Yes,Yes,No,26.595324,-232.039361,High School Diploma,Times
9/2/2025 9:06:37,20,Star Trek,165,Telekinesis,3,6,2,1,3,3,Black,7,No,No,No,37.865101,-119.53833,High School Diploma,Safeway
9/2/2025 9:06:38,27,Star Wars,180,Telekinesis,7,6,2,1,3,2,Green,45,No,Yes,Yes,34.134048,118.352058,Bachelor's Degree,Times
9/2/2025 9:06:41,21,Star Wars,160,Telekinesis,7,2,3,1,5,4,Black,15,No,Yes,Yes,41,141,High School Diploma,Safeway
9/2/2025 9:06:45,25,Star Wars,158.4,Telekinesis,6,1,3,4,3,5,Black,15,No,Yes,Yes,25.032969,121.565414,High School Diploma,Foodland
9/2/2025 9:07:47,21,Star Wars,169,Flying,9,1,4,1,3,3,Pink,25,No,Yes,No,47.673988,-122.121513,High School Diploma,Costco
9/2/2025 9:07:58,21,Star Wars,153,Invisibility,1,9,2,1,4,3,Blue,60,No,Yes,Yes,-33.86882,151.20929,High School Diploma,Times
9/2/2025 9:08:22,21,Star Wars,172.72,Flying,8,8,2,2,4,4,Black,0,No,Yes,Yes,21.600251,-158.09788,High School Diploma,Times
9/2/2025 9:08:41,32,Star Wars,179,Flying,8,4,1,1,2,3,Blue,80,No,Yes,Yes,42.291149,18.840296,Bachelor's Degree,Foodland
9/2/2025 9:09:51,26,Star Wars,158,Flying,10,12,2,1,5,3,white,15,Yes,Yes,Yes,46.289181,3.060982,High School Diploma,Foodland
9/2/2025 9:10:28,27,Star Wars,175,Telekinesis,3.1415926,05,3,1,4,4,Black,0,No,Yes,No,34.286474,-227.692757,High School Diploma,Safeway
9/2/2025 9:10:31,,Star Wars,165,Flying,5,4,2,2,3,4,gray,15,Yes,Yes,No,35.689487,139.691711,Bachelor's Degree,Foodland
9/2/2025 9:11:35,20,Star Wars,182.88,Flying,7,2,1,1,4,2,Gray,73,Yes,Yes,Yes,39.360611,-74.431877,High School Diploma,Safeway
9/2/2025 9:14:03,21,Star Wars,154,Talk to animals,7,10,5,2,4,3,Orange,30,Yes,Yes,No,12.039321,108.252335,High School Diploma,Costco
