year,month,value
1945,Jan,5.842
1945,Feb,29.718
1945,Mar,33.274
1945,Apr,132.08
1945,May,4.318
1945,Jun,6.096
1945,Jul,68.58
1945,Aug,37.084
1945,Sept,44.196
1945,Oct,16.002
1945,Nov,45.974
1945,Dec,39.116
1946,Jan,NaN
1946,Feb,NaN
1946,Mar,NaN
1946,Apr,NaN
1946,May,NaN
1946,Jun,NaN
1946,Jul,NaN
1946,Aug,NaN
1946,Sept,NaN
1946,Oct,NaN
1946,Nov,NaN
1946,Dec,NaN
1947,Jan,NaN
1947,Feb,NaN
1947,Mar,NaN
1947,Apr,NaN
1947,May,NaN
1947,Jun,NaN
1947,Jul,NaN
1947,Aug,NaN
1947,Sept,NaN
1947,Oct,NaN
1947,Nov,NaN
1947,Dec,NaN
1948,Jan,NaN
1948,Feb,NaN
1948,Mar,NaN
1948,Apr,NaN
1948,May,NaN
1948,Jun,NaN
1948,Jul,NaN
1948,Aug,NaN
1948,Sept,NaN
1948,Oct,NaN
1948,Nov,NaN
1948,Dec,NaN
1949,Jan,258.318
1949,Feb,155.702
1949,Mar,21.59
1949,Apr,22.098
1949,May,2.54
1949,Jun,20.32
1949,Jul,21.336
1949,Aug,15.494
1949,Sept,15.748
1949,Oct,14.224
1949,Nov,34.036
1949,Dec,40.64
1950,Jan,300.99
1950,Feb,44.45
1950,Mar,32.512
1950,Apr,96.012
1950,May,35.306
1950,Jun,16.764
1950,Jul,16.764
1950,Aug,56.642
1950,Sept,23.368
1950,Oct,20.066
1950,Nov,60.452
1950,Dec,156.972
1951,Jan,96.52
1951,Feb,84.328
1951,Mar,421.132
1951,Apr,15.24
1951,May,16.51
1951,Jun,7.874
1951,Jul,44.45
1951,Aug,29.972
1951,Sept,22.606
1951,Oct,190.5
1951,Nov,28.194
1951,Dec,131.318
1952,Jan,101.092
1952,Feb,27.686
1952,Mar,39.37
1952,Apr,22.86
1952,May,16.002
1952,Jun,18.288
1952,Jul,17.526
1952,Aug,6.35
1952,Sept,76.2
1952,Oct,68.58
1952,Nov,66.04
1952,Dec,29.718
1953,Jan,33.528
1953,Feb,32.258
1953,Mar,123.952
1953,Apr,19.558
1953,May,13.208
1953,Jun,9.144
1953,Jul,12.954
1953,Aug,6.35
1953,Sept,7.366
1953,Oct,17.78
1953,Nov,NaN
1953,Dec,38.1
1954,Jan,29.718
1954,Feb,44.704
1954,Mar,63.754
1954,Apr,37.846
1954,May,6.096
1954,Jun,19.05
1954,Jul,64.008
1954,Aug,13.716
1954,Sept,33.274
1954,Oct,56.896
1954,Nov,126.746
1954,Dec,179.07
1955,Jan,54.356
1955,Feb,255.778
1955,Mar,78.486
1955,Apr,43.688
1955,May,21.844
1955,Jun,6.604
1955,Jul,32.258
1955,Aug,20.066
1955,Sept,11.684
1955,Oct,14.732
1955,Nov,36.83
1955,Dec,240.03
1956,Jan,94.742
1956,Feb,101.346
1956,Mar,13.462
1956,Apr,29.718
1956,May,34.29
1956,Jun,22.352
1956,Jul,16.51
1956,Aug,13.97
1956,Sept,26.416
1956,Oct,71.628
1956,Nov,68.326
1956,Dec,82.042
1957,Jan,158.75
1957,Feb,20.574
1957,Mar,1.778
1957,Apr,17.018
1957,May,5.588
1957,Jun,7.62
1957,Jul,10.922
1957,Aug,11.684
1957,Sept,2.032
1957,Oct,2.794
1957,Nov,NaN
1957,Dec,115.824
1958,Jan,NaN
1958,Feb,60.452
1958,Mar,426.212
1958,Apr,17.78
1958,May,26.924
1958,Jun,25.146
1958,Jul,37.084
1958,Aug,129.794
1958,Sept,24.384
1958,Oct,93.726
1958,Nov,8.89
1958,Dec,78.232
1959,Jan,108.204
1959,Feb,101.6
1959,Mar,11.684
1959,Apr,52.324
1959,May,44.196
1959,Jun,3.048
1959,Jul,22.606
1959,Aug,102.87
1959,Sept,10.922
1959,Oct,15.24
1959,Nov,36.83
1959,Dec,34.798
1960,Jan,52.324
1960,Feb,22.86
1960,Mar,58.42
1960,Apr,14.224
1960,May,74.168
1960,Jun,16.764
1960,Jul,7.62
1960,Aug,31.242
1960,Sept,23.114
1960,Oct,40.64
1960,Nov,36.83
1960,Dec,116.84
1961,Jan,158.496
1961,Feb,61.214
1961,Mar,23.368
1961,Apr,12.192
1961,May,19.05
1961,Jun,48.006
1961,Jul,27.686
1961,Aug,22.098
1961,Sept,26.416
1961,Oct,76.454
1961,Nov,100.584
1961,Dec,44.958
1962,Jan,84.836
1962,Feb,82.042
1962,Mar,82.55
1962,Apr,51.816
1962,May,22.352
1962,Jun,4.064
1962,Jul,15.494
1962,Aug,10.922
1962,Sept,32.512
1962,Oct,31.242
1962,Nov,3.048
1962,Dec,50.546
1963,Jan,341.122
1963,Feb,9.652
1963,Mar,313.182
1963,Apr,287.782
1963,May,84.582
1963,Jun,25.908
1963,Jul,43.688
1963,Aug,8.128
1963,Sept,60.96
1963,Oct,54.356
1963,Nov,8.636
1963,Dec,36.83
1964,Jan,103.124
1964,Feb,32.766
1964,Mar,155.194
1964,Apr,40.894
1964,May,20.32
1964,Jun,10.16
1964,Jul,52.832
1964,Aug,19.304
1964,Sept,25.654
1964,Oct,38.1
1964,Nov,107.696
1964,Dec,135.128
1965,Jan,59.69
1965,Feb,30.988
1965,Mar,19.558
1965,Apr,83.82
1965,May,215.392
1965,Jun,19.812
1965,Jul,48.768
1965,Aug,35.306
1965,Sept,98.552
1965,Oct,98.298
1965,Nov,396.748
1965,Dec,264.16
1966,Jan,99.06
1966,Feb,112.776
1966,Mar,13.716
1966,Apr,9.144
1966,May,22.606
1966,Jun,11.176
1966,Jul,17.526
1966,Aug,20.32
1966,Sept,9.906
1966,Oct,83.058
1966,Nov,240.538
1966,Dec,128.524
1967,Jan,50.038
1967,Feb,125.984
1967,Mar,208.534
1967,Apr,48.514
1967,May,97.282
1967,Jun,20.828
1967,Jul,72.39
1967,Aug,93.472
1967,Sept,23.114
1967,Oct,57.658
1967,Nov,84.074
1967,Dec,309.372
1968,Jan,201.422
1968,Feb,75.438
1968,Mar,54.61
1968,Apr,106.934
1968,May,26.924
1968,Jun,16.764
1968,Jul,9.144
1968,Aug,6.858
1968,Sept,44.958
1968,Oct,53.594
1968,Nov,173.99
1968,Dec,281.94
1969,Jan,224.79
1969,Feb,68.072
1969,Mar,92.456
1969,Apr,35.814
1969,May,28.702
1969,Jun,18.288
1969,Jul,40.894
1969,Aug,22.86
1969,Sept,36.068
1969,Oct,16.51
1969,Nov,43.18
1969,Dec,91.44
1970,Jan,62.484
1970,Feb,14.732
1970,Mar,11.684
1970,Apr,54.864
1970,May,18.796
1970,Jun,11.938
1970,Jul,49.022
1970,Aug,17.78
1970,Sept,26.924
1970,Oct,56.642
1970,Nov,178.308
1970,Dec,119.888
1971,Jan,168.91
1971,Feb,63.754
1971,Mar,218.186
1971,Apr,77.47
1971,May,37.592
1971,Jun,107.188
1971,Jul,6.096
1971,Aug,9.144
1971,Sept,78.994
1971,Oct,39.37
1971,Nov,46.99
1971,Dec,55.626
1972,Jan,199.136
1972,Feb,154.94
1972,Mar,72.898
1972,Apr,161.29
1972,May,15.494
1972,Jun,27.432
1972,Jul,14.732
1972,Aug,24.384
1972,Sept,28.194
1972,Oct,59.69
1972,Nov,40.894
1972,Dec,62.992
1973,Jan,27.432
1973,Feb,25.908
1973,Mar,69.342
1973,Apr,15.748
1973,May,84.074
1973,Jun,11.684
1973,Jul,40.386
1973,Aug,18.542
1973,Sept,16.256
1973,Oct,26.162
1973,Nov,167.64
1973,Dec,226.822
1974,Jan,197.612
1974,Feb,84.328
1974,Mar,160.782
1974,Apr,135.128
1974,May,29.464
1974,Jun,39.624
1974,Jul,34.036
1974,Aug,4.826
1974,Sept,55.372
1974,Oct,147.574
1974,Nov,113.792
1974,Dec,38.354
1975,Jan,225.552
1975,Feb,61.976
1975,Mar,62.23
1975,Apr,59.944
1975,May,13.462
1975,Jun,6.858
1975,Jul,12.954
1975,Aug,9.398
1975,Sept,9.652
1975,Oct,14.478
1975,Nov,275.844
1975,Dec,23.368
1976,Jan,32.512
1976,Feb,182.118
1976,Mar,80.01
1976,Apr,71.12
1976,May,48.006
1976,Jun,14.478
1976,Jul,32.258
1976,Aug,5.334
1976,Sept,18.542
1976,Oct,24.892
1976,Nov,25.654
1976,Dec,1.27
1977,Jan,21.59
1977,Feb,26.162
1977,Mar,99.314
1977,Apr,62.738
1977,May,166.624
1977,Jun,27.432
1977,Jul,8.636
1977,Aug,5.334
1977,Sept,10.414
1977,Oct,22.606
1977,Nov,33.274
1977,Dec,87.122
1978,Jan,18.542
1978,Feb,5.588
1978,Mar,55.372
1978,Apr,99.568
1978,May,110.744
1978,Jun,55.626
1978,Jul,19.304
1978,Aug,15.748
1978,Sept,32.512
1978,Oct,191.008
1978,Nov,105.918
1978,Dec,104.14
1979,Jan,170.942
1979,Feb,276.86
1979,Mar,31.242
1979,Apr,29.972
1979,May,18.034
1979,Jun,40.132
1979,Jul,14.224
1979,Aug,11.43
1979,Sept,37.846
1979,Oct,-28.702
1979,Nov,NaN
1979,Dec,-122.428
1980,Jan,266.192
1980,Feb,57.404
1980,Mar,112.268
1980,Apr,107.696
1980,May,-52.578
1980,Jun,-55.118
1980,Jul,27.94
1980,Aug,33.782
1980,Sept,4.318
1980,Oct,24.384
1980,Nov,11.938
1980,Dec,156.21
1981,Jan,24.13
1981,Feb,51.816
1981,Mar,26.67
1981,Apr,37.084
1981,May,68.326
1981,Jun,12.192
1981,Jul,29.464
1981,Aug,42.418
1981,Sept,14.986
1981,Oct,-53.34
1981,Nov,-78.232
1981,Dec,168.402
1982,Jan,436.626
1982,Feb,58.166
1982,Mar,94.234
1982,Apr,33.528
1982,May,7.112
1982,Jun,23.622
1982,Jul,24.892
1982,Aug,80.264
1982,Sept,32.004
1982,Oct,-145.288
1982,Nov,-124.206
1982,Dec,116.84
1983,Jan,10.668
1983,Feb,5.334
1983,Mar,14.986
1983,Apr,61.468
1983,May,-16.51
1983,Jun,21.336
1983,Jul,38.608
1983,Aug,30.226
1983,Sept,26.924
1983,Oct,-42.672
1983,Nov,11.684
1983,Dec,38.1
1984,Jan,25.4
1984,Feb,48.006
1984,Mar,51.054
1984,Apr,123.444
1984,May,12.954
1984,Jun,8.128
1984,Jul,42.418
1984,Aug,14.732
1984,Sept,8.636
1984,Oct,31.75
1984,Nov,141.732
1984,Dec,191.008
1985,Jan,67.056
1985,Feb,134.62
1985,Mar,118.618
1985,Apr,40.894
1985,May,65.278
1985,Jun,7.366
1985,Jul,31.496
1985,Aug,33.528
1985,Sept,43.942
1985,Oct,218.694
1985,Nov,132.588
1985,Dec,5.08
1986,Jan,2.794
1986,Feb,42.926
1986,Mar,30.988
1986,Apr,81.026
1986,May,35.052
1986,Jun,50.8
1986,Jul,96.012
1986,Aug,20.574
1986,Sept,51.562
1986,Oct,59.436
1986,Nov,161.798
1986,Dec,22.098
1987,Jan,NaN
1987,Feb,NaN
1987,Mar,17.018
1987,Apr,36.322
1987,May,36.576
1987,Jun,16.51
1987,Jul,20.32
1987,Aug,13.208
1987,Sept,43.688
1987,Oct,NaN
1987,Nov,NaN
1987,Dec,NaN
1988,Jan,NaN
1988,Feb,NaN
1988,Mar,35.814
1988,Apr,NaN
1988,May,NaN
1988,Jun,10.922
1988,Jul,NaN
1988,Aug,NaN
1988,Sept,33.02
1988,Oct,11.43
1988,Nov,78.232
1988,Dec,NaN
1989,Jan,NaN
1989,Feb,191.262
1989,Mar,58.674
1989,Apr,124.46
1989,May,39.37
1989,Jun,16.764
1989,Jul,76.454
1989,Aug,8.89
1989,Sept,22.606
1989,Oct,181.102
1989,Nov,14.478
1989,Dec,39.116
1990,Jan,NaN
1990,Feb,114.3
1990,Mar,60.198
1990,Apr,11.43
1990,May,24.638
1990,Jun,27.178
1990,Jul,24.384
1990,Aug,7.366
1990,Sept,NaN
1990,Oct,NaN
1990,Nov,102.362
1990,Dec,219.964
1991,Jan,35.052
1991,Feb,85.344
1991,Mar,NaN
1991,Apr,NaN
1991,May,24.638
1991,Jun,NaN
1991,Jul,NaN
1991,Aug,26.924
1991,Sept,42.164
1991,Oct,129.286
1991,Nov,11.684
1991,Dec,83.82
1992,Jan,9.652
1992,Feb,NaN
1992,Mar,42.418
1992,Apr,8.89
1992,May,NaN
1992,Jun,NaN
1992,Jul,NaN
1992,Aug,NaN
1992,Sept,39.624
1992,Oct,NaN
1992,Nov,NaN
1992,Dec,NaN
1993,Jan,NaN
1993,Feb,47.498
1993,Mar,5.588
1993,Apr,NaN
1993,May,NaN
1993,Jun,NaN
1993,Jul,53.848
1993,Aug,31.242
1993,Sept,54.61
1993,Oct,77.216
1993,Nov,38.1
1993,Dec,31.75
1994,Jan,53.848
1994,Feb,179.578
1994,Mar,190.246
1994,Apr,37.846
1994,May,21.59
1994,Jun,12.954
1994,Jul,NaN
1994,Aug,19.812
1994,Sept,NaN
1994,Oct,6.858
1994,Nov,NaN
1994,Dec,NaN
1995,Jan,NaN
1995,Feb,NaN
1995,Mar,NaN
1995,Apr,NaN
1995,May,NaN
1995,Jun,NaN
1995,Jul,NaN
1995,Aug,NaN
1995,Sept,NaN
1995,Oct,NaN
1995,Nov,NaN
1995,Dec,24.13
1996,Jan,NaN
1996,Feb,NaN
1996,Mar,NaN
1996,Apr,NaN
1996,May,14.224
1996,Jun,NaN
1996,Jul,NaN
1996,Aug,NaN
1996,Sept,NaN
1996,Oct,8.89
1996,Nov,NaN
